associations	POST	/associations/relations	create-relation	Create Relation for you associated entities.	[{"bearer":["associations/relation.write"]}]
associations	GET	/associations/relations/{recordId}	get-relations-by-record-id	Get all relations By record Id	[{"bearer":["associations/relation.readonly"]}]
associations	DELETE	/associations/relations/{relationId}	delete-relation	Delete Relation	[{"bearer":["associations/relation.write"]}]
associations	GET	/associations/key/{key_name}	get-association-key-by-key-name	Get association key by key name	[{"bearer":["associations.readonly"]}]
associations	GET	/associations/objectKey/{objectKey}	get-association-by-object-keys	Get association by object keys	[{"bearer":["associations.readonly"]}]
associations	PUT	/associations/{associationId}	update-association	Update Association By Id	[{"bearer":["associations.write"]}]
associations	DELETE	/associations/{associationId}	delete-association	Delete Association	[{"bearer":["associations.write"]}]
associations	GET	/associations/{associationId}	get-association-by-ID	Get association by ID	[{"bearer":["associations.readonly"]}]
associations	POST	/associations/	create-association	Create Association	[{"bearer":["associations.write"]}]
associations	GET	/associations/	find-associations	Get all associations for a sub-account / location	[{"bearer":["associations.readonly"]}]
blogs	GET	/blogs/posts/url-slug-exists	check-url-slug-exists	Check url slug	[{"Location-Access":["blogs/check-slug.readonly"]}]
blogs	PUT	/blogs/posts/{postId}	update-blog-post	Update Blog Post	[{"Location-Access":["blogs/post-update.write"]}]
blogs	POST	/blogs/posts	create-blog-post	Create Blog Post	[{"Location-Access":["blogs/post.write"]}]
blogs	GET	/blogs/authors	get-all-blog-authors-by-location	Get all authors	[{"Location-Access":["blogs/author.readonly"]}]
blogs	GET	/blogs/categories	get-all-categories-by-location	Get all categories	[{"Location-Access":["blogs/category.readonly"]}]
blogs	GET	/blogs/posts/all	get-blog-post	Get Blog posts by Blog ID	[{"Location-Access":["blogs/posts.readonly"]}]
blogs	GET	/blogs/site/all	get-blogs	Get Blogs by Location ID	[{"Location-Access":["blogs/list.readonly"]}]
businesses	PUT	/businesses/{businessId}	update-business	Update Business	[{"bearer":["businesses.write"]}]
businesses	DELETE	/businesses/{businessId}	delete-Business	Delete Business	[{"bearer":["businesses.write"]}]
businesses	GET	/businesses/{businessId}	get-business	Get Business	[{"bearer":["businesses.readonly"]}]
businesses	GET	/businesses/	get-businesses-by-location	Get Businesses by Location	[{"bearer":["businesses.readonly"]}]
businesses	POST	/businesses/	create-business	Create Business	[{"bearer":["businesses.write"]}]
calendars	GET	/calendars/groups	get-groups	Get Groups	[{"bearer":["calendars/groups.readonly"]}]
calendars	POST	/calendars/groups	create-calendar-group	Create Calendar Group	[{"bearer":["calendars/groups.write"]}]
calendars	POST	/calendars/groups/validate-slug	validate-groups-slug	Validate group slug	[{"bearer":["calendars/groups.write"]}]
calendars	DELETE	/calendars/groups/{groupId}	delete-group	Delete Group	[{"bearer":["calendars/groups.write"]}]
calendars	PUT	/calendars/groups/{groupId}	edit-group	Update Group	[{"bearer":["calendars/groups.write"]}]
